tpgGen,envGen,frames,envName,tpgMin,tpgMax,tpgAvg,envFit,championSize
270,6,500,Frostbite-v0,0.0,160.0,49.313304721,0.544378874583,79
271,7,500,PrivateEye-v0,-869.0,100.0,-175.608333333,0.790796580633,6
272,7,500,Venture-v0,0.0,0.0,0.0,0.0,3
273,7,500,Frostbite-v0,0.0,160.0,61.3852813853,0.664923039923,79
274,7,500,Skiing-v0,-2569.0,-2401.0,-2493.62612613,0.784727754966,19
275,7,500,DoubleDunk-v0,-2.0,0.0,-0.119658119658,0.835707502374,10
276,7,500,Bowling-v0,0.0,3.0,0.0257510729614,0.00762994754411,3
277,7,500,Asteroids-v0,0.0,460.0,79.8728813559,0.370353757044,10
278,7,500,FishingDerby-v0,-24.0,-18.0,-18.9570815451,0.84819583532,29
279,7,500,Alien-v0,0.0,340.0,118.430493274,0.685296962362,13
280,7,500,Skiing-v0,-2584.0,-2401.0,-2498.50220264,0.810340350797,15
281,7,500,Alien-v0,0.0,340.0,117.35426009,0.669021745689,13
282,7,500,FishingDerby-v0,-24.0,-18.0,-19.0347826087,0.832635534085,5
283,7,500,DoubleDunk-v0,-2.0,0.0,-0.181034482759,0.808429118774,3
284,7,500,Venture-v0,0.0,0.0,0.0,0.0,3
285,7,500,Frostbite-v0,0.0,160.0,62.6180257511,0.696322126848,79
286,7,500,PrivateEye-v0,-1000.0,14604.0,-158.694915254,0.130907721452,14
287,7,500,Bowling-v0,0.0,3.0,0.100418410042,0.0297536029754,3
288,7,500,Asteroids-v0,0.0,630.0,99.3670886076,0.343448410602,66
289,7,500,Alien-v0,0.0,160.0,110.083682008,0.808955137146,13
290,7,500,Bowling-v0,0.0,3.0,0.2,0.0592592592593,3
291,7,500,PrivateEye-v0,-1000.0,14604.0,-166.388888889,0.129564444623,14
292,7,500,Asteroids-v0,20.0,630.0,110.042372881,0.314656317708,73
293,7,500,Venture-v0,0.0,0.0,0.0,0.0,3
294,7,500,Frostbite-v0,0.0,120.0,46.8421052632,0.573316006065,20
295,7,500,FishingDerby-v0,-24.0,-18.0,-18.8708333333,0.834567901235,11
296,7,500,Skiing-v0,-2566.0,-2401.0,-2492.04329004,0.77240892903,19
297,7,500,DoubleDunk-v0,-2.0,2.0,-0.0172413793103,0.877394636015,10
298,7,500,Venture-v0,0.0,0.0,0.0,0.0,11
299,7,500,PrivateEye-v0,-1000.0,0.0,-230.520661157,0.801937381084,14
300,7,500,Skiing-v0,-2576.0,-2401.0,-2494.38461538,0.803944043258,19
301,7,500,DoubleDunk-v0,-2.0,0.0,-0.109243697479,0.840336134454,10
302,7,500,Alien-v0,0.0,340.0,116.737288136,0.672622654911,13
303,7,500,Bowling-v0,0.0,3.0,0.101265822785,0.0300046882325,27
304,7,500,Asteroids-v0,0.0,630.0,87.652173913,0.309953833027,66
305,7,500,Frostbite-v0,0.0,120.0,51.9444444444,0.640603566529,20
306,7,500,FishingDerby-v0,-24.0,-16.0,-18.6995515695,0.925012456403,27
307,7,500,DoubleDunk-v0,-2.0,2.0,-0.0892857142857,0.845238095238,3
308,7,500,Asteroids-v0,20.0,410.0,129.155555556,0.512027012768,66
309,7,500,PrivateEye-v0,-1000.0,14604.0,-118.030973451,0.13729288818,14
310,7,500,Frostbite-v0,0.0,120.0,63.5775862069,0.780810983397,20
311,7,500,Venture-v0,0.0,0.0,0.0,0.0,3
312,7,500,Skiing-v0,-2578.0,-2401.0,-2494.54741379,0.806040674004,19
313,7,500,FishingDerby-v0,-24.0,-16.0,-18.849137931,0.899784482759,27
314,7,500,Bowling-v0,0.0,3.0,0.142857142857,0.042328042328,95
315,7,500,Alien-v0,0.0,340.0,95.2608695652,0.553673336342,13
316,8,500,PrivateEye-v0,-1000.0,14604.0,-306.910714286,0.106372800389,14
317,8,500,Alien-v0,0.0,340.0,118.0,0.669896193772,13
318,8,500,Venture-v0,0.0,0.0,0.0,0.0,3
319,8,500,FishingDerby-v0,-24.0,-14.0,-18.9041666667,0.83037037037,24
320,8,500,Frostbite-v0,0.0,120.0,53.6324786325,0.660388308536,20
321,8,500,Boxing-v0,-46.0,1.0,-23.1965811966,0.736030664505,16
322,8,500,DoubleDunk-v0,-2.0,2.0,-0.0440528634361,0.86539402839,3
323,8,500,Skiing-v0,-2591.0,-2401.0,-2491.64035088,0.865365753565,19
324,8,500,UpNDown-v0,20.0,2440.0,174.911504425,0.145587575253,78
325,8,500,Venture-v0,0.0,0.0,0.0,0.0,3
326,8,500,Skiing-v0,-2579.0,-2401.0,-2489.10434783,0.840808783842,66
327,8,500,DoubleDunk-v0,-6.0,2.0,-0.215517241379,0.984195402299,10
328,8,500,PrivateEye-v0,-900.0,14604.0,-190.076271186,0.110519838263,14
329,8,500,Frostbite-v0,0.0,120.0,43.0543933054,0.532413864352,20
330,8,500,UpNDown-v0,20.0,1960.0,241.212121212,0.239859997114,28
331,8,500,Boxing-v0,-44.0,-3.0,-19.7012987013,0.786368543656,89
332,8,500,Alien-v0,0.0,340.0,84.085106383,0.487550614739,13
333,8,500,FishingDerby-v0,-24.0,-14.0,-19.0379746835,0.820928270042,24
334,8,500,Boxing-v0,-53.0,1.0,-17.4206008584,0.887810857892,87
335,8,500,Alien-v0,0.0,160.0,96.25,0.6953125,38
336,8,500,PrivateEye-v0,-1000.0,14604.0,-81.6202531646,0.143524753933,14
337,8,500,Venture-v0,0.0,0.0,0.0,0.0,3
338,8,500,UpNDown-v0,20.0,2040.0,199.041666667,0.193921801421,42
339,8,500,Skiing-v0,-2586.0,-960.0,-2491.75,0.141190281612,9
340,8,500,FishingDerby-v0,-24.0,-18.0,-18.7887931034,0.853980417199,24
341,8,500,Frostbite-v0,0.0,140.0,36.5531914894,0.425338929898,10
342,8,500,DoubleDunk-v0,-2.0,2.0,-0.285714285714,0.758056758057,9
343,8,500,Boxing-v0,-43.0,6.0,-21.5972850679,0.70095479322,17
344,8,500,Alien-v0,0.0,150.0,79.9551569507,0.615392791895,88
345,8,500,Skiing-v0,-2591.0,-2401.0,-2496.90950226,0.839231173114,9
346,8,500,FishingDerby-v0,-24.0,-12.0,-18.7074235808,0.796484985714,24
347,8,500,UpNDown-v0,20.0,1640.0,171.271186441,0.211309710895,19
348,8,500,DoubleDunk-v0,-2.0,2.0,-0.119658119658,0.828110161443,10
349,8,500,PrivateEye-v0,-1000.0,14604.0,-181.072340426,0.127307607728,14
350,8,500,Frostbite-v0,0.0,140.0,33.1330472103,0.391618736193,10
351,8,500,Venture-v0,0.0,0.0,0.0,0.0,3
352,8,500,Alien-v0,0.0,340.0,80.8733624454,0.470333042884,13
353,8,500,Frostbite-v0,0.0,140.0,52.6315789474,0.616859609341,10
