tpgGen,hoursElapsed,env,fitMin,fitMax,fitAvg,champSize,champUid,totalTeams,totalRootTeams
216,46.2775766910447,Boxing-v0,-100.0,38.0,15.373873873873872,24,16052,291,206
217,46.482242569592266,Boxing-v0,-100.0,38.0,16.48058252427184,24,16052,310,214
218,46.72671570168601,Boxing-v0,-100.0,38.0,14.641744548286596,24,16052,309,219
219,46.952877870930564,Boxing-v0,-100.0,38.0,13.65905631659055,24,16052,305,212
220,47.16684364855289,Boxing-v0,-100.0,38.0,13.113207547169795,24,16052,307,217
221,47.40666564861933,Boxing-v0,-100.0,38.0,13.305683563748076,24,16052,302,214
222,47.62572587430477,Boxing-v0,-54.0,38.0,16.800623052959487,24,16052,309,214
223,47.84615732981099,Boxing-v0,-100.0,38.0,12.490654205607465,24,16052,320,218
224,48.08220491124524,Boxing-v0,-100.0,38.0,13.672782874617731,24,16052,313,227
225,48.28345305946138,Boxing-v0,-100.0,38.0,14.405286343612321,24,16052,305,213
226,48.482026555604406,Boxing-v0,-100.0,38.0,13.926447574334897,24,16052,314,217
227,48.71252117978202,Boxing-v0,-100.0,38.0,14.290322580645162,24,16052,307,220
228,48.94152168737517,Boxing-v0,-100.0,46.333333333333336,14.230303030303025,55,25026,295,211
229,49.13579592492845,Boxing-v0,-100.0,46.333333333333336,15.361769352290677,55,25026,301,213
230,49.37235919217269,Boxing-v0,-100.0,46.333333333333336,14.682316118935832,55,25026,298,213
231,49.587677203483054,Boxing-v0,-100.0,46.333333333333336,15.43192488262912,55,25026,295,210
232,49.793067500127684,Boxing-v0,-54.0,46.333333333333336,16.22857142857142,55,25026,308,211
233,50.033597855832845,Boxing-v0,-100.0,46.333333333333336,15.129541864139023,55,25026,318,218
234,50.2564918318722,Boxing-v0,-100.0,46.333333333333336,13.288990825688066,55,25026,317,225
235,50.48785447239876,Boxing-v0,-100.0,46.333333333333336,16.167407407407413,55,25026,306,215
236,50.69160757230388,Boxing-v0,-100.0,46.333333333333336,16.2062015503876,55,25026,302,217
237,50.920111636254525,Boxing-v0,-100.0,46.333333333333336,15.059907834101383,55,25026,315,210
238,51.15392558309767,Boxing-v0,-100.0,46.333333333333336,15.904761904761896,55,25026,324,228
239,51.40679469121827,Boxing-v0,-100.0,46.333333333333336,13.926900584795325,55,25026,306,221
240,51.62289873414569,Boxing-v0,-100.0,46.333333333333336,17.912518853695328,55,25026,305,213
241,51.844358959992725,Boxing-v0,-100.0,46.333333333333336,13.899843505477312,55,25026,310,222
242,52.0717629475726,Boxing-v0,-100.0,46.333333333333336,16.375375375375363,55,25026,311,216
243,52.30348525934749,Boxing-v0,-54.0,46.333333333333336,13.92592592592592,55,25026,315,220
244,52.53369885153241,Boxing-v0,-100.0,46.333333333333336,17.739393939393945,55,25026,311,217
245,52.748814473814434,Boxing-v0,-100.0,46.333333333333336,15.837173579109056,55,25026,306,222
246,52.97102433158292,Boxing-v0,-100.0,46.333333333333336,14.147147147147153,55,25026,297,213
247,53.18012117637528,Boxing-v0,-54.0,46.333333333333336,16.057902973395933,55,25026,300,210
248,53.3960698612531,Boxing-v0,-100.0,46.333333333333336,14.919047619047612,55,25026,299,214
249,53.60646557357576,Boxing-v0,-100.0,46.333333333333336,15.584112149532702,55,25026,300,212
250,53.82005129158497,Boxing-v0,-100.0,46.333333333333336,14.655660377358497,55,25026,310,216
251,54.05821911520428,Boxing-v0,-100.0,46.333333333333336,16.17129629629628,55,25026,314,217
252,54.28858043730259,Boxing-v0,-100.0,46.333333333333336,15.554531490015359,55,25026,309,221
253,54.492068393561574,Boxing-v0,-100.0,46.333333333333336,15.37254901960785,55,25026,298,214
254,54.700792296197676,Boxing-v0,-100.0,46.333333333333336,15.014018691588781,55,25026,307,212
255,54.92629346344206,Boxing-v0,-100.0,46.333333333333336,13.470125786163521,55,25026,307,221
256,55.15639380170239,Boxing-v0,-100.0,46.333333333333336,15.577677224736048,55,25026,304,215
257,55.37998898777697,Boxing-v0,-100.0,46.333333333333336,16.167441860465118,55,25026,312,211
258,55.59773811366823,Boxing-v0,-100.0,46.333333333333336,9.97314375987362,55,25026,322,226
259,55.82592613240083,Boxing-v0,-100.0,46.333333333333336,13.735988200589972,55,25026,309,223
260,56.04379619075193,Boxing-v0,-100.0,46.333333333333336,15.614349775784756,55,25026,305,219
261,56.24561890701453,Boxing-v0,-100.0,46.333333333333336,15.31202435312025,55,25026,301,215
262,56.45559618956513,Boxing-v0,-100.0,46.333333333333336,15.42480620155039,55,25026,305,216
263,56.68810019168589,Boxing-v0,-100.0,46.333333333333336,14.868827160493826,55,25026,301,215
264,56.899888065126206,Boxing-v0,-100.0,46.333333333333336,17.544186046511626,55,25026,307,211
265,57.13265151076847,Boxing-v0,-100.0,46.333333333333336,13.864139020537136,55,25026,309,223
266,57.354910784297516,Boxing-v0,-100.0,46.333333333333336,15.496263079222722,55,25026,313,211
267,57.59747380124198,Boxing-v0,-100.0,46.333333333333336,15.677725118483425,55,25026,321,226
268,57.84020422048039,Boxing-v0,-100.0,46.333333333333336,14.786135693215346,55,25026,308,220
269,58.06141446550687,Boxing-v0,-54.0,46.333333333333336,16.978787878787877,55,25026,302,215
270,58.26647905488809,Boxing-v0,-100.0,46.333333333333336,16.2139534883721,55,25026,308,219
271,58.50588613503509,Boxing-v0,-100.0,46.333333333333336,16.482496194824968,55,25026,312,216
272,58.74957364771101,Boxing-v0,-100.0,46.333333333333336,15.427469135802479,55,25026,318,218
273,58.99931205491225,Boxing-v0,-100.0,46.333333333333336,15.892966360856276,55,25026,317,225
274,59.24189212342103,Boxing-v0,-100.0,46.333333333333336,16.229629629629642,55,25026,320,215
275,59.475920209288596,Boxing-v0,-100.0,46.333333333333336,15.784496124031016,55,25026,320,222
276,59.70257587797112,Boxing-v0,-100.0,46.333333333333336,14.92642642642643,55,25026,317,219
277,59.941553745799595,Boxing-v0,-100.0,46.333333333333336,15.722983257229835,55,25026,321,224
278,60.173255876964994,Boxing-v0,-100.0,46.333333333333336,13.85863095238096,55,25026,319,223
279,60.41356478273869,Boxing-v0,-100.0,46.333333333333336,15.5186846038864,55,25026,301,221
280,60.62576335065895,Boxing-v0,-100.0,46.333333333333336,18.65158371040724,55,25026,296,210
281,60.84197877685229,Boxing-v0,-100.0,46.333333333333336,15.011111111111124,55,25026,303,214
282,61.09034644683202,Boxing-v0,-54.0,46.333333333333336,16.690031152647986,55,25026,308,217
283,61.32872998058796,Boxing-v0,-100.0,46.333333333333336,16.695852534562206,55,25026,305,216
284,61.537604651848476,Boxing-v0,-100.0,46.333333333333336,15.456790123456809,55,25026,305,214
285,61.76164798531267,Boxing-v0,-100.0,46.333333333333336,17.10124610591901,55,25026,310,219
286,62.00081414620082,Boxing-v0,-100.0,46.333333333333336,14.383561643835625,55,25026,320,220
287,62.23542814652125,Boxing-v0,-43.333333333333336,46.333333333333336,16.387878787878794,55,25026,308,222
288,62.44260063204501,Boxing-v0,-100.0,46.333333333333336,17.867867867867872,55,25026,299,217
289,62.655664997034606,Boxing-v0,-100.0,46.333333333333336,16.545314900153613,55,25026,300,208
290,62.85471292866601,Boxing-v0,-100.0,46.333333333333336,14.027243589743595,55,25026,304,217
291,63.086383758915794,Boxing-v0,-100.0,46.333333333333336,14.626728110599085,55,25026,303,214
292,63.3067319373952,Boxing-v0,-100.0,46.333333333333336,16.47040498442369,55,25026,300,213
